버스정류장코드,시도명,시군코드,버스정류장명,측정시간,측정원본시간,미세먼지PM2점5측정값,미세먼지PM10측정값,일산화탄소측정값,이산화황측정값,이산화질소측정값,외부온도측정값,외부습도측정값,풍향,풍속측정값
05322,성남시,41130,위례새초롱유치원,2020-08-28 14:30:06,1598625006,13,15,0,0,0.075,30.7,76.1,SE,0.3
06210,성남시,41130,(구)단대동주민센터,2020-08-28 14:26:30,1598624790,16,18,0,0.043,0.025,30.8,74.3,N ,0.3
06070,성남시,41130,은행동현대아파트,2020-08-28 14:20:47,1598624447,13,15,0,0.018,0.097,30.7,74.4,E ,0
06206,성남시,41130,성남우체국,2020-08-28 14:20:33,1598624433,12,17,0,0,0.025,31.1,72.6,E ,1.7
07110,성남시,41130,주공4단지,2020-08-28 14:21:54,1598624514,20,30,0.009,0.092,0.094,31.6,71,SE,0.2
07624,성남시,41130,정자역,2020-08-28 14:20:58,1598624458,20,24,0,0,0.118,31.2,73.9,NW,0
07029,성남시,41130,로얄냉장,2020-08-28 14:27:43,1598624863,23,28,0.023,0.01,0.06,31.3,76.5,NE,0
05183,성남시,41130,송현초등학교.판교이지더원2단지,2020-08-28 14:23:34,1598624614,17,21,0.161,0,0.098,32.1,73,W ,0.3
07515,성남시,41130,뫼루니육교,2020-08-28 14:23:28,1598624608,17,20,0.247,0,0.096,29.8,82,NW,0.2
07400,성남시,41130,아름마을.방아다리사거리,2020-08-28 14:26:00,1598624760,19,22,0,0.005,0.06,32.3,72.1,E ,0
07301,성남시,41130,송림고등학교.이매촌청구아파트.동신아파트,2020-08-28 14:29:26,1598624966,12,15,0,0,0.064,32,71,SE,0.5
07092,성남시,41130,주공7단지.한솔종합사회복지관,2020-08-28 14:21:52,1598624512,16,19,0.026,0.149,0.078,31.8,70,W ,0.5
05070,성남시,41130,수진역.성호시장.성일중고입구,2020-08-28 14:24:54,1598624694,19,25,0.429,0.014,0.017,31.2,72,SE,0.7
07220,성남시,41130,평생학습원. 중앙도서관,2020-08-28 14:21:49,1598624509,12,14,0,0,0,31.1,76.2,SW,0.3
07163,성남시,41130,한솔마을청구아파트,2020-08-28 14:25:17,1598624717,17,21,0,0.005,0.074,31,75.8,S ,0
07334,성남시,41130,청솔주공6단지,2020-08-28 14:25:00,1598624700,15,17,0.085,0,0.055,30.4,77.3,SW,0
07472,성남시,41130,분당중앙고앞,2020-08-28 14:24:41,1598624681,5,6,0.396,0,0.108,30.5,78,NW,0
07116,성남시,41130,분당도서관.계원예고.이마트,2020-08-28 14:25:20,1598624720,18,24,0.511,0.03,0.122,31,76.2,SW,0
06102,성남시,41130,"선경아파트, 성남중원경찰서",2020-08-28 14:21:09,1598624469,19,24,0,0,0.153,30.5,74.4,SE,0
07505,성남시,41130,성내미육교.판교박물관,2020-08-28 14:23:35,1598624615,21,26,0.036,0.132,0.103,31.3,76.7,E ,0.3
07098,성남시,41130,롯데백화점.수내역,2020-08-28 14:21:52,1598624512,20,27,0.141,0.011,0.1,32.9,67.1,W ,1
07508,성남시,41130,차그룹컨소시엄,2020-08-28 14:26:23,1598624783,20,25,0,0.034,0.057,31.5,74.5,W ,0.7
06032,성남시,41130,아튼빌후문,2020-08-28 14:29:29,1598624969,20,24,0.215,0,0.078,32.1,70.6,S ,0.2
07239,성남시,41130,분당등기소,2020-08-28 14:24:46,1598624686,14,18,0,0.029,0.09,31.5,70.8,E ,0.8
07250,성남시,41130,임광아파트정문.효자촌입구.분당중앙교회,2020-08-28 14:20:11,1598624411,19,24,0.358,0.003,0.098,32.8,68.6,E ,0.6
07300,성남시,41130,동국대한방병원.신성아파트.수내고교,2020-08-28 14:29:17,1598624957,14,15,0.201,0,0.07,31.3,72.1,SE,1.1
07325,성남시,41130,중앙공원.샛별마을우방아파트,2020-08-28 14:24:15,1598624655,22,27,0.239,0.015,0,32.2,71.5,SW,0.1
06053,성남시,41130,상대원시장.새마을금고,2020-08-28 14:23:40,1598624620,19,24,0.092,0.048,0.145,31.2,71.5,SE,0.2
07142,성남시,41130,분당구청.중앙공원후문,2020-08-28 14:20:23,1598624423,18,21,0,0,0.07,32.8,69.8,SW,0.3
23305,남양주시,41360,금곡예비군훈련장.충일아파트,2020-08-28 14:28:14,1598624894,22,26,1.383,0.071,0.079,29.8,84.5,E ,0.5
49831,남양주시,41360,금강펜테리움 1차,2020-08-28 14:25:48,1598624748,24,33,0,0.001,0.125,29.1,87.7,W ,1.7
49689,남양주시,41360,도농고,2020-08-28 14:28:37,1598624917,31,39,0,0,0,30.8,79.6,S ,0.3
23087,남양주시,41360,롯데아파트.다산센트레빌,2020-08-28 14:26:06,1598624766,21,26,0,0,0.078,29.9,81.5,E ,0
49291,남양주시,41360,오남체육공원.대우푸르지오아파트,2020-08-28 14:21:52,1598624512,19,23,0,0,0.046,28,86.5,NW,0.2
23528,남양주시,41360,마석가구공단.천마산스키장입구,2020-08-28 14:21:19,1598624479,18,22,0,0.003,0.084,26.6,91.8,S ,0
